System,3wrobotNI
Controller,SARSA-m
dt,0.1
state_init,[-1.   -1.    1.57]
Nactor,1
pred_step_size_multiplier,1.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[1, 1, 0.001, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.99
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s],N Calf/SARSA-m,N nominal
0.0001,-1.0,-1.0,1.57,2.0024650989680084,0.20024650989680085,-0.022,-0.284,0,0
0.0011,-1.0000000184769071,-1.0000199947840764,1.5697418854166667,2.002504315277631,0.40049694142456393,-0.022,-0.284,0,0
0.009751084473638361,-1.0000004529658764,-1.0002103180986803,1.5672849774261535,2.0028781654461265,0.6007847579691766,-0.022,-0.284,0,0
0.05975108447363836,-1.000012125133062,-1.0013102469275672,1.5530849774261535,2.005058720206993,0.801290629989876,-0.022,-0.284,0,0
0.10975108447363836,-1.0000394145879528,-1.002409899124289,1.5388849774261535,2.0072727796179963,1.0020179079516756,-0.12040978909304342,-0.3172945777204945,0,1
0.15975108447363837,-1.0002640056596537,-1.0079773393465616,1.5231719816417195,2.018866582240768,1.2039045661757524,-0.12040978909304342,-0.3172945777204945,0,1
0.20975108447363838,-1.0005983087005474,-1.0139884768863414,1.5073072527556948,2.0316416773690382,1.4070687339126562,-0.10894020702533636,-0.29958041248577,0,2
0.25975108447363837,-1.0009883567851956,-1.019473857392388,1.4922475035138,2.043531509811987,1.6114218848938549,-0.10894020702533636,-0.29958041248577,0,2
0.30975108447363836,-1.0014564261105094,-1.0249006684377144,1.4772684828895115,2.055518728124199,1.8169737577062748,-0.10894020702533636,-0.29958041248577,0,2
0.35975108447363835,-1.0020057282010153,-1.0303198597268592,1.462289462265223,2.067712821670441,2.0237450398733188,-0.09254745385882897,-0.27290378391482906,0,3
0.40975108447363834,-1.0025468638516517,-1.03499066380394,1.4485226998924003,2.078404135768695,2.2315854534501884,-0.09254745385882897,-0.27290378391482906,0,3
0.4597510844736383,-1.0031425776465281,-1.0395794949056394,1.434877510696659,2.0890794531993877,2.440493398770127,-0.09254745385882897,-0.27290378391482906,0,3
0.5097510844736384,-1.0038008495094488,-1.0441597704388161,1.4212323215009175,2.0999056900190225,2.6504839677720295,-0.07736577417078783,-0.25083869902043426,0,4
0.5597510844736384,-1.0044119174441637,-1.0480495164368018,1.4085898295223822,2.109235227548998,2.861407490526929,-0.07736577417078783,-0.25083869902043426,0,4
0.6097510844736385,-1.0050605539012702,-1.0518630098655857,1.3960478945713606,2.118511468865812,3.0732586374135105,-0.06803305368265916,-0.23814073729234775,0,5
0.6597510844736385,-1.0056794841833712,-1.055251105876911,1.384082989391576,2.1268618156609684,3.2859448189796074,-0.06803305368265916,-0.23814073729234775,0,5
0.7097510844736385,-1.0063308188724152,-1.0585897983447994,1.3721759525269586,2.135196951953176,3.499464514174925,-0.05933463174290714,-0.22475970009446283,0,6
0.7597510844736386,-1.0069405345104292,-1.0615336786505762,1.3608769862329222,2.142634982859231,3.713728012460848,-0.05933463174290714,-0.22475970009446283,0,6
0.8097510844736386,-1.0075750359532853,-1.064431748973992,1.3496390012281991,2.1500439314835846,3.9287324056092063,-0.05115083522246912,-0.21230275934500573,0,7
